acc_x,acc_y,acc_z,vib,Earthquake
341,343,421,96,Normal
339,341,417,96,Normal
339,340,417,96,Normal
339,344,414,97,Normal
340,338,418,97,Normal
339,342,418,97,Normal
339,341,417,96,Normal
341,344,420,97,Normal
340,342,418,97,Normal
339,341,418,96,Normal
340,342,418,97,Normal
338,341,416,96,Normal
340,342,418,96,Normal
341,343,420,96,Normal
340,344,417,97,Normal
339,341,418,96,Normal
338,339,418,97,Normal
342,344,419,97,Normal
339,340,417,96,Normal
340,342,418,96,Normal
340,342,417,96,Normal
340,342,418,96,Normal
338,341,417,97,Normal
342,343,420,97,Normal
341,343,417,97,Normal
340,342,418,97,Normal
338,340,416,96,Normal
339,341,419,97,Normal
341,342,419,96,Normal
340,343,418,97,Normal
338,340,417,97,Normal
339,341,416,96,Normal
340,341,418,96,Normal
343,345,422,97,Normal
339,342,418,97,Normal
339,342,419,96,Normal
339,340,419,97,Normal
337,340,416,97,Normal
338,341,417,96,Normal
339,341,418,96,Normal
339,341,417,97,Normal
339,342,417,96,Normal
342,344,420,98,Normal
338,341,417,96,Normal
339,342,418,96,Normal
339,342,416,97,Normal
340,342,418,97,Normal
341,343,418,97,Normal
339,342,419,97,Normal
339,343,414,96,Normal
339,344,418,96,Normal
340,342,420,97,Normal
339,343,417,97,Normal
340,343,417,97,Normal
341,343,419,97,Normal
339,341,418,97,Normal
339,343,418,96,Normal
341,342,417,97,Normal
340,341,418,96,Normal
341,347,417,97,Normal
339,342,416,96,Normal
340,344,418,97,Normal
339,341,419,97,Normal
340,342,419,97,Normal
340,342,419,97,Normal
338,340,418,96,Normal
339,342,418,97,Normal
339,341,418,96,Normal
343,345,422,97,Normal
341,343,418,97,Normal
339,342,420,97,Normal
340,344,417,97,Normal
340,341,418,97,Normal
340,342,419,97,Normal
340,342,418,97,Normal
340,342,417,97,Normal
341,343,418,96,Normal
343,345,421,97,Normal
339,342,417,97,Normal
339,342,416,96,Normal
341,343,421,97,Normal
339,340,418,96,Normal
340,345,418,97,Normal
339,341,419,97,Normal
340,341,418,97,Normal
341,343,420,97,Normal
339,342,417,96,Normal
338,341,417,97,Normal
341,342,418,97,Normal
339,341,417,97,Normal
338,342,416,96,Normal
340,345,417,97,Normal
339,341,417,96,Normal
339,342,418,97,Normal
338,341,416,96,Normal
338,341,417,96,Normal
340,342,418,97,Normal
341,344,420,97,Normal
339,340,417,97,Normal
340,342,421,97,Normal
340,343,418,96,Normal
340,343,417,96,Normal
340,342,418,96,Normal
338,340,418,97,Normal
339,342,418,96,Normal
340,342,419,97,Normal
339,342,418,97,Normal
339,341,418,96,Normal
339,342,417,96,Normal
342,347,420,97,Normal
338,341,416,96,Normal
339,341,419,96,Normal
339,342,417,96,Normal
339,343,418,97,Normal
338,340,417,97,Normal
342,344,420,97,Normal
339,343,418,96,Normal
339,342,417,97,Normal
340,342,419,97,Normal
338,340,418,97,Normal
342,343,421,97,Normal
339,342,418,96,Normal
339,342,416,96,Normal
340,342,419,97,Normal
341,343,419,97,Normal
339,342,416,97,Normal
338,341,416,96,Normal
338,340,418,97,Normal
338,341,418,96,Normal
338,343,415,96,Normal
345,346,423,97,Normal
339,343,418,97,Normal
342,345,420,97,Normal
339,342,417,97,Normal
340,342,418,97,Normal
338,341,417,97,Normal
343,344,421,97,Normal
337,340,416,96,Normal
338,340,419,97,Normal
339,343,417,97,Normal
344,347,423,98,Normal
340,342,419,96,Normal
339,342,419,96,Normal
339,342,418,96,Normal
341,344,420,96,Normal
341,342,419,97,Normal
340,337,420,97,Normal
339,342,419,96,Normal
338,340,417,97,Normal
340,343,418,97,Normal
338,340,416,97,Normal
340,342,418,97,Normal
339,342,418,97,Normal
340,341,419,97,Normal
339,341,416,96,Normal
339,340,417,97,Normal
339,337,419,97,Normal
340,340,420,97,Normal
338,340,417,97,Normal
340,340,419,97,Normal
343,345,422,97,Normal
339,341,419,97,Normal
339,341,417,96,Normal
340,342,418,96,Normal
339,341,418,96,Normal
339,342,418,96,Normal
338,341,417,96,Normal
340,341,417,97,Normal
339,342,415,97,Normal
339,341,418,96,Normal
338,340,417,97,Normal
340,341,419,96,Normal
346,349,425,98,Normal
339,341,417,97,Normal
341,345,420,97,Normal
339,341,416,96,Normal
339,341,416,96,Normal
338,341,416,97,Normal
